index,id,contact_city,contact_state,found,manual,remove,still_there
0,44520267,Anoka,MN,Arkansas,,,
1,44698509,Groveland,FL,Abacos,Bahamas,,
2,45983838,Adamstown,MD,Adam,Maryland,,
3,44475904,Saint Cloud,MN,Adaptil,,TRUE,
4,43877389,Pueblo,CO,Afghanistan,,,
5,43082511,Manchester,CT,Afghanistan,,,
6,45287347,Wooster,OH,Akron,Ohio,,
7,45287347,Wooster,OH,Akron,Ohio,,
8,45987719,Locust Fork,AL,Alabama,,,
9,45943086,Locust Fork,AL,Alabama,,,
10,45942459,Locust Fork,AL,Alabama,,,
11,45942229,Locust Fork,AL,Alabama,,,
12,45941983,Locust Fork,AL,Alabama,,,
13,45898359,Locust Fork,AL,Alabama,,,
14,45886372,Locust Fork,AL,Alabama,,,
15,45886371,Locust Fork,AL,Alabama,,,
16,45864590,Locust Fork,AL,Alabama,,,
17,45863153,Locust Fork,AL,Alabama,,,
18,45862971,Locust Fork,AL,Alabama,,,
19,45852535,Locust Fork,AL,Alabama,,,
20,45850607,Locust Fork,AL,Alabama,,,
21,45800965,Locust Fork,AL,Alabama,,,
22,45800836,Locust Fork,AL,Alabama,,,
23,45795675,Locust Fork,AL,Alabama,,,
24,45795582,Locust Fork,AL,Alabama,,,
25,45795234,Locust Fork,AL,Alabama,,,
26,45795234,Locust Fork,AL,Alabama,,,
27,45767587,Locust Fork,AL,Alabama,,,
28,45767425,Locust Fork,AL,Alabama,,,
29,45751466,Locust Fork,AL,Alabama,,,
30,45735981,Locust Fork,AL,Alabama,,,
31,45735025,Locust Fork,AL,Alabama,,,
32,45596728,Locust Fork,AL,Alabama,,,
33,45583580,Locust Fork,AL,Alabama,,,
34,45578504,Locust Fork,AL,Alabama,,,
35,45571287,Locust Fork,AL,Alabama,,,
36,45403745,Locust Fork,AL,Alabama,,,
37,45395917,Locust Fork,AL,Alabama,,,
38,45395916,Locust Fork,AL,Alabama,,,
39,45359510,Locust Fork,AL,Alabama,,,
40,45348204,Locust Fork,AL,Alabama,,,
41,45319796,Locust Fork,AL,Alabama,,,
42,45307667,Locust Fork,AL,Alabama,,,
43,45182453,Locust Fork,AL,Alabama,,,
44,45182452,Locust Fork,AL,Alabama,,,
45,45182449,Locust Fork,AL,Alabama,,,
46,45168511,Locust Fork,AL,Alabama,,,
47,45123683,Locust Fork,AL,Alabama,,,
48,45105047,Locust Fork,AL,Alabama,,,
49,45094595,Locust Fork,AL,Alabama,,,
50,45094582,Locust Fork,AL,Alabama,,,
51,45014230,Locust Fork,AL,Alabama,,,
52,45008032,Locust Fork,AL,Alabama,,,
53,44821932,Locust Fork,AL,Alabama,,,
54,44812223,Locust Fork,AL,Alabama,,,
55,44429318,Locust Fork,AL,Alabama,,,
56,45945049,Westminster,CO,Alabama,,TRUE,
57,45945048,Evergreen,CO,Alabama,,TRUE,
58,44740613,Westminster,CO,Alabama,,,
59,44739540,Evergreen,CO,Alabama,,,
60,46026256,Patterson,NY,Alabama,,,
61,46016066,Lodi,NJ,Alabama,,,
62,46016034,Lodi,NJ,Alabama,,,
63,45985897,Patterson,NY,Alabama,,,
64,45985898,Patterson,NY,Alabama,,,
65,45985546,Patterson,NY,Alabama,,,
66,45963904,Enfield,CT,Alabama,,,
67,45923207,Lodi,NJ,Alabama,,,
68,45922934,Lodi,NJ,Alabama,,,
69,45787945,New York,NY,Alabama,,,
70,45709422,Verplanck,NY,Alabama,,,
71,45491612,Lodi,NJ,Alabama,,,
72,45491535,Lodi,NJ,Alabama,,,
73,45491398,Lodi,NJ,Alabama,,,
74,45463374,Patterson,NY,Alabama,,,
75,45374450,Enfield,CT,Alabama,,,
76,45369965,New York,NY,Alabama,,,
77,45358574,New York,NY,Alabama,,,
78,45347634,New York,NY,Alabama,,,
79,45347636,New York,NY,Alabama,,,
80,45318811,New York,NY,Alabama,,,
81,44669068,New York,NY,Alabama,,,
82,44403673,Lodi,NJ,Alabama,,,
83,44391932,New York,NY,Alabama,,,
84,44247112,New York,NY,Alabama,,,
85,42662787,Westhampton,NY,Alabama,,,
86,39777150,Cliffside Park,NJ,Alabama,,,
87,33675085,Cortlandt Manor,NY,Alabama,,,
88,46005034,Hagerstown,MD,Alabama,,,
89,45981200,Hagerstown,MD,Alabama,,,
90,45980962,Hagerstown,MD,Alabama,,,
91,45980961,Hagerstown,MD,Alabama,,,
92,45980908,Hagerstown,MD,Alabama,,,
93,45947103,Hagerstown,MD,Alabama,,,
94,45947074,Hagerstown,MD,Alabama,,,
95,45947041,Hagerstown,MD,Alabama,,,
96,45946873,Hagerstown,MD,Alabama,,,
97,45946740,Hagerstown,MD,Alabama,,,
98,45946740,Hagerstown,MD,Alabama,,,
99,45942818,Hagerstown,MD,Alabama,,,
100,45942311,Hagerstown,MD,Alabama,,,
101,45941986,Hagerstown,MD,Alabama,,,
102,45941733,Hagerstown,MD,Alabama,,,
103,45886367,Hagerstown,MD,Alabama,,,
104,45886232,Hagerstown,MD,Alabama,,,
105,45874592,Hagerstown,MD,Alabama,,,
106,45864238,Hagerstown,MD,Alabama,,,
107,45863033,Hagerstown,MD,Alabama,,,
108,45862802,Hagerstown,MD,Alabama,,,
109,45856155,Hagerstown,MD,Alabama,,,
110,45852503,Hagerstown,MD,Alabama,,,
111,45851317,Hagerstown,MD,Alabama,,,
112,45833873,Hagerstown,MD,Alabama,,,
113,45800872,Hagerstown,MD,Alabama,,,
114,45800716,Hagerstown,MD,Alabama,,,
115,45795614,Hagerstown,MD,Alabama,,,
116,45795550,Hagerstown,MD,Alabama,,,
117,45795183,Hagerstown,MD,Alabama,,,
118,45782875,Hagerstown,MD,Alabama,,,
119,45782430,Hagerstown,MD,Alabama,,,
120,45782176,Hagerstown,MD,Alabama,,,
121,45758856,Hagerstown,MD,Alabama,,,
122,45743606,Hagerstown,MD,Alabama,,,
123,45735782,Hagerstown,MD,Alabama,,,
124,45734955,Hagerstown,MD,Alabama,,,
125,45717652,Hagerstown,MD,Alabama,,,
126,45704612,Hagerstown,MD,Alabama,,,
127,45697318,Hagerstown,MD,Alabama,,,
128,45696774,Hagerstown,MD,Alabama,,,
129,45612428,Hagerstown,MD,Alabama,,,
130,45596351,Hagerstown,MD,Alabama,,,
131,45593642,Mechanicsburg,PA,Alabama,,,
132,45593610,Mechanicsburg,PA,Alabama,,,
133,45593571,Mechanicsburg,PA,Alabama,,,
134,45593515,Mechanicsburg,PA,Alabama,,,
135,45583504,Hagerstown,MD,Alabama,,,
136,45578440,Hagerstown,MD,Alabama,,,
137,45577835,Hagerstown,MD,Alabama,,,
138,45577834,Hagerstown,MD,Alabama,,,
139,45571242,Hagerstown,MD,Alabama,,,
140,45555304,Hagerstown,MD,Alabama,,,
141,45554432,Hagerstown,MD,Alabama,,,
142,45554240,Hagerstown,MD,Alabama,,,
